HET,count
AGH,960
COO,960
UPV,960
DPF,957
SIS,954
GDX,948
CAZ,948
RSQ,946
YNC,945
OTT,945
DSI,940
FSW,936
VFT,936
PPI,932
DEX,929
GTS,927
CYN,924
VFN,924
MRH,922
HPA,920
CDC,920
MDA,920
OJC,917
HFG,912
USU,910
DAT,908
TOY,906
KHS,906
YZY,905
TSN,902
DHB,901
VCJ,900
NGM,896
PDC,894
NGY,891
EEP,890
SGC,889
DGZ,888
YHR,888
PVN,886
GBM,885
LNK,884
PYV,883
WHL,882
HEO,882
RHQ,881
ETE,880
PKZ,879
TYI,874
AFC,874
LYZ,872
CRF,868
ALO,866
HTL,862
HCY,860
XPC,860
MNR,860
NUT,860
KFV,859
PCD,858
TSA,856
DCC,854
FMC,854
JHM,853
POH,852
GAR,850
GET,850
JEF,848
BOC,840
ZMA,840
YUV,840
CCS,840
SOR,839
RAL,838
IRY,836
REA,834
KPT,832
PIE,827
OAS,824
SEB,822
GNG,821
HJV,820
OAN,820
TFX,820
XMM,820
SGV,819
IMH,817
NLG,816
IBM,816
GMH,814
GDN,814
NKN,812
VFZ,810
LGU,809
EDT,807
PRX,806
BCZ,805
CPQ,804
ROL,804
AMG,803
LHO,803
ZIT,802
TAC,800
HJY,800
UDH,800
LMZ,800
CZF,800
XQY,800
WSK,800
VYJ,799
CSF,798
DVT,798
DDL,798
GER,796
HSI,795
YFP,791
SFU,790
XYL,787
ATM,786
AGM,784
GRA,784
UDA,784
OTP,784
SKM,783
YNP,782
UMS,780
LVZ,780
RLZ,780
UOQ,780
WUO,776
OPE,776
TOE,776
ILE,770
DAH,770
VOV,770
FYD,768
QUS,767
ETX,767
SND,767
KAA,764
MMP,761
VNS,760
QVR,760
HAV,760
AHZ,760
HIA,759
PYO,759
CIS,757
GQK,756
HTF,756
XKM,756
TFA,754
KRS,752
LSN,750
WMH,750
LNF,750
AOV,749
TBU,743
COM,743
WSS,740
IWP,740
PUT,739
TAD,739
TPW,738
AES,738
MME,738
AAL,735
MCA,732
BMF,732
CPT,730
FJT,729
ULR,728
ERI,728
DCS,726
WCA,725
FER,723
NCY,720
HTN,720
MSB,720
QOK,718
GIQ,717
COS,716
ELA,716
VCA,715
PIN,714
PPS,713
BKR,708
DIH,703
TSV,703
ANJ,702
PFB,702
NTS,702
KDL,700
MOO,700
APJ,700
NGS,700
IVC,699
HUR,697
UCL,697
LAR,696
DGG,696
DOG,696
BET,695
ETF,695
EDK,695
RSP,691
DAM,690
CVI,688
DHV,688
XIB,686
NOJ,683
BDG,683
LPC,683
TPF,682
PMS,682
PXG,681
FGV,680
JDT,680
DSV,680
TDK,676
DPM,676
PDY,675
PEO,675
FWF,672
OHD,672
PIT,672
IDR,672
ZOL,672
YPG,672
EAM,670
OMP,668
IDG,666
ZGV,665
PYA,665
JBJ,663
DDS,662
LNL,660
ITP,660
MFX,660
WEV,660
JZR,660
TPS,659
THH,657
AMH,655
LDP,654
EQJ,648
DWZ,648
PGH,648
UPL,647
SQU,646
PSA,646
HBX,646
CRS,645
TMA,645
EWV,645
SAO,644
ZEA,640
PAP,640
DPG,640
KMQ,640
EAB,640
MIS,640
PLD,639
NGC,637
COY,636
UAG,636
CSC,636
SHH,634
HWP,634
YMZ,634
HCB,630
KGM,628
VPN,627
LFX,627
HBA,627
KPX,624
MPT,624
LPD,622
DCA,621
NOF,621
RUL,620
IIL,618
MNA,615
XLS,614
VDX,614
DOA,613
LPX,613
ADQ,612
OZT,612
TEP,611
JHL,610
PYP,610
ZST,609
PXQ,609
AQV,608
PUB,608
ALL,608
TDR,606
URF,606
NFA,604
YGR,602
AER,602
DGI,600
MIV,600
TSB,600
YTF,600
ULO,600
TCE,598
XFJ,598
CAQ,598
BLG,595
PPN,595
LME,595
EQK,594
ADK,593
ASJ,592
MLD,590
LSS,589
NAA,588
MXE,588
AQN,588
TPV,588
VLB,587
OXN,586
UMA,586
CUA,586
DBI,585
ABN,584
IOR,580
NVP,580
TEX,576
MAE,576
URC,576
RTZ,575
HAR,575
XMO,573
MBN,571
LWQ,570
FAB,570
TAX,570
PIK,567
DLX,564
LYO,564
PTD,561
AUZ,560
DCW,560
MNG,560
CYG,560
EMO,560
SXK,560
UTI,560
OSR,560
QPA,560
SLU,560
GDM,560
OUK,559
ISW,559
AKR,556
NLO,555
KBF,555
TQP,555
CBD,554
RJP,552
CMK,552
BVV,550
DNM,550
CMH,550
MGN,550
HNF,550
GOA,549
PQJ,547
AWB,546
TDL,544
MHA,544
TAP,544
PMZ,540
QHP,540
GRW,540
GPI,540
THA,540
ORD,539
VIB,539
GTR,538
HSM,537
KGJ,537
BHE,534
YVV,534
OBN,533
NCC,533
UTC,533
RIP,532
LEA,531
ISH,530
ISI,530
NGT,530
UTB,530
MCM,529
VNL,528
BAT,528
BTM,528
IND,528
GQT,528
MTC,528
GTW,528
VIV,526
NBG,525
GCG,524
VDY,524
TDC,523
WSN,522
QVE,520
CTY,519
JFN,519
TXD,519
GNE,518
HXA,518
JRA,516
CZH,516
MJL,516
GQH,516
PTE,512
FWZ,512
AIX,512
TSL,512
BHD,511
SEY,510
CFM,510
KOB,510
TOC,507
KIW,506
DTD,506
DOQ,506
KIU,506
ALN,505
COT,504
PXX,504
KFL,504
WAA,504
GRT,504
GMA,504
SUR,500
BNI,500
PGU,500
ILM,500
MQO,500
JPT,500
SQX,500
QCT,498
WSR,496
TLO,496
KQD,496
FLU,496
BJX,495
PDX,495
PAU,495
MMV,494
FOK,493
QHS,492
TAU,492
DOR,492
GQQ,492
LCV,490
KGQ,490
MQP,490
XCC,489
GLP,488
SFD,487
RKP,486
TXE,484
AHG,484
CAD,484
BMQ,484
XAN,483
OHN,483
DTU,482
DEP,482
RDF,481
ZUK,480
JSP,480
AQH,480
PPY,480
NCD,480
GEK,480
CBO,480
TOA,480
PSJ,480
KGA,479
GCO,477
FAS,477
CYT,474
AYE,473
SQL,473
LGP,472
MAY,471
HAE,469
UAP,469
PPK,469
PFL,468
MAH,468
DBH,466
CEI,465
ITT,465
FEO,465
INN,464
PZG,464
NPM,464
WII,464
MTY,463
TBE,463
PED,461
ZER,460
OEY,460
MHE,460
RAR,460
LVS,459
XFN,459
MAV,459
RDC,459
CXT,459
TEE,458
NZC,457
FUD,456
TSP,456
LRZ,456
TCI,456
SKE,456
GCV,455
GTD,455
PPU,455
MUR,453
ASO,453
AZN,452
RQU,450
TON,450
ITZ,450
PPG,450
IFM,450
XEG,448
MYK,446
ZCL,444
KXP,444
QSP,444
DOW,444
YCO,442
LDZ,442
IMI,441
PDA,441
FEG,441
CXP,441
REP,441
PFX,440
HTQ,440
DXT,440
OUH,440
GEN,440
QSG,440
PRL,440
KOU,440
PAE,438
DSZ,438
IUM,438
TCW,437
SDS,437
EAA,437
DNP,436
THJ,435
TAT,434
CMQ,434
EVF,434
EMC,433
LDT,432
NAE,432
BHF,432
UMC,432
ECN,432
QLB,432
HSE,432
NMM,431
DHC,430
SGM,430
VDM,430
MHF,429
LMD,429
YZS,429
MUN,427
LBM,427
FFL,427
NSX,426
MRY,426
HTS,424
ZFY,424
QTY,424
ZGR,424
GAU,423
DGS,422
ABH,421
CFQ,420
KMP,420
QNP,420
GPS,420
WWX,420
GME,420
LSK,420
UYS,420
NSY,420
MVL,419
OMT,418
WBJ,418
AIR,418
XXX,418
QCY,416
ZID,416
VFA,416
HTU,416
MSS,416
JEI,416
ASA,416
KJL,416
GSU,416
FLP,414
NDT,414
ITL,413
MFK,413
YYC,413
JGH,412
BAB,411
HIW,411
AVJ,410
YLI,410
DDE,410
LLJ,410
WFB,409
DEQ,408
DHY,408
FBX,408
FVP,408
CMX,408
AIC,408
TBN,408
LYE,407
RIS,406
PHN,406
ACN,406
LAC,406
ZRW,405
DTB,405
WWO,405
YIO,404
